date_scraped,company_name,uei,duns,recipient_id,city,state,zip,parent_company,business_types,award_amount_12mo,match_source,small_business,usaspending_url
2026-07-01,"ARCTICOM, LLC",SM3DL16FHN43,079766453,3ff305fc-0c6f-1500-259f-4fa7abed3a12-C,ANCHORAGE,AK,99503,"ARCTICOM, LLC",8a_program_participant; alaskan_native_corporation_owned_firm; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,59652691.85,naics_541512,True,https://www.usaspending.gov/recipient/3ff305fc-0c6f-1500-259f-4fa7abed3a12-C/latest
2026-07-01,NAKUPUNA CONSULTING LLC,FAP4HJHRMJU3,117672240,51bacc97-94bb-ed39-8aa1-7aacb336c2d0-C,ARLINGTON,VA,22202,NAKUPUNA CONSULTING LLC,8a_program_participant; category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; native_hawaiian_organization_owned_firm; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business,50563223.51,naics_541512,True,https://www.usaspending.gov/recipient/51bacc97-94bb-ed39-8aa1-7aacb336c2d0-C/latest
2026-07-01,SPECTRUM SOLUTIONS INC,N9HABLYNBFQ5,040179405,a7a5f962-0e16-2446-cb00-13c3e2a3e1fa-C,MADISON,AL,35758,SPECTRUM SOLUTIONS INC,category_business; corporate_entity_not_tax_exempt; small_business; special_designations; subchapter_s_corporation; us_owned_business,47473783.25,naics_541512,True,https://www.usaspending.gov/recipient/a7a5f962-0e16-2446-cb00-13c3e2a3e1fa-C/latest
2026-07-01,EPSILON INC,JY5SWCCPG5L7,829877328,a8d6b655-c921-67cd-f712-5775d68904ca-C,WEAVERVILLE,NC,28787,EPSILON INC,category_business; corporate_entity_not_tax_exempt; self_certified_small_disadvanted_business; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,42569876.10,naics_541512,True,https://www.usaspending.gov/recipient/a8d6b655-c921-67cd-f712-5775d68904ca-C/latest
2026-07-01,UNCOMN LLC,NPAJNNWFQ8J5,963900928,70f9230a-650e-9e3a-f091-5cbb10272920-C,SCOTT AIR FORCE BASE,IL,62225,UNCOMN LLC,category_business; limited_liability_corporation; partnership_or_limited_liability_partnership; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,40854080.36,naics_541512,True,https://www.usaspending.gov/recipient/70f9230a-650e-9e3a-f091-5cbb10272920-C/latest
2026-07-01,"DNI EMERGING TECHNOLOGIES, LLC",MKAQAB8ECG69,117616558,f9524148-43f1-351c-cec4-36ddf60f93c0-C,OKLAHOMA CITY,OK,73106,"DNI EMERGING TECHNOLOGIES, LLC",8a_program_participant; category_business; corporate_entity_tax_exempt; limited_liability_corporation; minority_owned_business; native_american_owned_business; self_certified_small_disadvanted_business; small_business; special_designations; tribally_owned_firm; us_owned_business,31828761.14,naics_541512,True,https://www.usaspending.gov/recipient/f9524148-43f1-351c-cec4-36ddf60f93c0-C/latest
2026-07-01,COMPETITIVE RANGE SOLUTIONS LLC,RM9GACFMSLG7,969949564,ae48a311-2f28-79ef-5d3b-b36761ce23b3-C,MCLEAN,VA,22102,COMPETITIVE RANGE SOLUTIONS LLC,category_business; corporate_entity_not_tax_exempt; hispanic_american_owned_business; limited_liability_corporation; minority_owned_business; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,31531409.79,naics_541512,True,https://www.usaspending.gov/recipient/ae48a311-2f28-79ef-5d3b-b36761ce23b3-C/latest
2026-07-01,AGILE-BOT II LLC,QCCPAC6P55H3,080685627,96eda1fe-1d5b-f99f-7333-7751543bc6f4-C,HERNDON,VA,20171,AGILE-BOT II LLC,asian_pacific_american_owned_business; category_business; minority_owned_business; partnership_or_limited_liability_partnership; self_certified_small_disadvanted_business; small_business; special_designations; us_owned_business; veteran_owned_business,30580497.69,naics_541512,True,https://www.usaspending.gov/recipient/96eda1fe-1d5b-f99f-7333-7751543bc6f4-C/latest
2026-07-01,ALAMO-EVERGREEN JV LLC,WDLDXXZQAJ13,117910706,03e76f11-330c-b997-d295-f2ac881fb978-C,TACOMA,WA,98444,ALAMO-EVERGREEN JV LLC,category_business; limited_liability_corporation; partnership_or_limited_liability_partnership; service_disabled_veteran_owned_business; small_business; special_designations; us_owned_business; veteran_owned_business,28721446.04,naics_541512,True,https://www.usaspending.gov/recipient/03e76f11-330c-b997-d295-f2ac881fb978-C/latest
2026-07-01,"VALIDATEK-CITI, LLC",FVLYVCDZKYM5,965919900,c377e44f-8336-8cee-06b0-6b878daa9aae-C,MC LEAN,VA,22102,"VALIDATEK-CITI, LLC",category_business; corporate_entity_not_tax_exempt; limited_liability_corporation; minority_owned_business; sba_certified_8a_joint_venture; self_certified_small_disadvanted_business; small_business; special_designations; subcontinent_asian_indian_american_owned_business; us_owned_business,26542096.34,naics_541512,True,https://www.usaspending.gov/recipient/c377e44f-8336-8cee-06b0-6b878daa9aae-C/latest
