date_scraped,award_id,award_amount,replicability,service_type,description,awardee,awardee_uei,agency,sub_agency,naics,psc,start_date,match_source,score,award_url
2026-07-01,1605TB26F00001,30744.00,high,incident_response,"RENEW LICENSING FOR CROWDSTRIKE FALCON PLATFORM, AN ENDPOINT DETECTION AND RESPONSE CYBERSECURITY SOFTWARE THAT HAS BEEN FULLY IMPLEMENTED INTO THE BLS CYBER SECURITY FRAMEWORK AND INCORPORATED INTO AGENCY INCIDENT RESPONSE PROCEDURES.",NORSEMAN INC,,Department of Labor,Office of the Assistant Secretary for Administration and Management,541519,DA01,2025-12-23,keyword:incident response,80,https://www.usaspending.gov/award/CONT_AWD_1605TB26F00001_1605_NNG15SC83B_8000
2026-07-01,140D0425F0951,14308.25,high,vulnerability_assessment,PENETRATION TESTING SOFTWARE WOULD SIGNIFICANTLY ENHANCE OUR EXISTING VULNERABILITY MANAGEMENT SERVICES BY OFFERING DEEPER INSIGHTS INTO THE NETWORK INFRASTRUCTURE OF TRIBAL GAMING OPERATIONS. THE SOFTWARE WOULD ALLOW TO SIMULATE REAL-WORLD CYBER-ATT,SOFTWARE INFORMATION RESOURCE CORP.,,Department of the Interior,Departmental Offices,541519,DA10,2025-09-17,keyword:penetration test,75,https://www.usaspending.gov/award/CONT_AWD_140D0425F0951_1406_NNG15SD74B_8000
2026-07-01,70SBUR26F00000138,28738.10,high,vulnerability_assessment,"OPSWAT METADEFENDER SOFTWARE PROVIDES ADVANCED MALWARE PREVENTION, VULNERABILITY ASSESSMENT, AND DATA SANITATION CAPABILITIES THAT ARE CRITICAL TO MAINTAINING THE CYBERSECURITY POSTURE OF DHS AND USCIS.","NEW TECH SOLUTIONS, INC.",,Department of Homeland Security,U.S. Citizenship and Immigration Services,541519,DA10,2026-06-10,keyword:vulnerability assessment,75,https://www.usaspending.gov/award/CONT_AWD_70SBUR26F00000138_7003_NNG15SC82B_8000
2026-07-01,24362519F0121,73683.43,high,cyber_consulting,IRETIRE SECURITY ASSESSMENT,PARAGON TECHNOLOGY GROUP INC.,,Office of Personnel Management,Office of Personnel Management,541519,D310,2019-05-21,keyword:security assessment,75,https://www.usaspending.gov/award/CONT_AWD_24362519F0121_2400_GS35F0484N_4730
2026-07-01,N6893625F0529,76146.25,high,cyber_consulting,CYBER RISK ASSESSMENT SERVICES,"RTL NETWORKS, INC.",,Department of Defense,Department of the Navy,541512,DJ10,2025-09-05,keyword:risk assessment,75,https://www.usaspending.gov/award/CONT_AWD_N6893625F0529_9700_N6893624D0003_9700
2026-07-01,N6833526F1021,24802.79,high,cyber_consulting,"NASA SEWP ORDER OF OPENRMF PRO, A CYBER COMPLIANCE AUTOMATION TOOL.","NEW TECH SOLUTIONS, INC.",,Department of Defense,Department of the Navy,541519,7A21,2026-04-10,keyword:cyber compliance,70,https://www.usaspending.gov/award/CONT_AWD_N6833526F1021_9700_NNG15SC82B_8000
2026-07-01,36C10B26F0138,25697.01,high,penetration_testing,COBALT STRIKE PENETRATION TESTING,"REDHAWK IT SOLUTIONS, LLC",,Department of Veterans Affairs,Department of Veterans Affairs,541519,DA10,2026-04-01,keyword:penetration test,70,https://www.usaspending.gov/award/CONT_AWD_36C10B26F0138_3600_NNG15SD38B_8000
2026-07-01,89303124FEM400384,40165.02,high,vulnerability_assessment,INFORMATION TECHNOLOGY PURCHASE FOR PORTSMOUTH PADUCAH PROJECT OFFICE -SYSTEM AND HOST VULNERABILITY SCANNER,BLUE TECH INC.,,Department of Energy,Department of Energy,541519,7A20,2024-08-28,keyword:vulnerability scan,70,https://www.usaspending.gov/award/CONT_AWD_89303124FEM400384_8900_NNG15SD00B_8000
2026-07-01,15F06723F0001595,41438.72,high,penetration_testing,"CYD 2023 E023 CTAOS/CTOU CNO/CNE PROGRAM REQUIRES UTILIZATION OF METASPLOIT LICENSES. CURRENTLY, THE UNIT POSSESS ONE LICENSE AND THIS REQ IS TO INCREASE THAT QUANTITY TO TWO. THIS SOFTWARE WILL BE USED FOR PENETRATION TESTING. IT NORMALIZES HOW RED","COUNTERTRADE PRODUCTS, INC.",,Department of Justice,Federal Bureau of Investigation,541519,7C21,2023-09-22,keyword:penetration test,70,https://www.usaspending.gov/award/CONT_AWD_15F06723F0001595_1549_NNG15SC30B_8000
2026-07-01,89303726FEM400344,51081.79,high,penetration_testing,"THIS PURCHASE IS FOR THE REPLACEMENT OF EOL HARDWARE THAT IS USED TO SUPPORT DFIR, PENETRATION TESTING, AND OTHER CYBER LAB PROJECTS. THIS INCLUDES A NETWORK ATTACHED STORAGE DEVICE, SWITCHES, AND OTHER DESKTOP HARDWARE ACCESSORIES FOR THE CSOC AND C",COLOSSAL CONTRACTING LLC,,Department of Energy,Department of Energy,541519,7H20,2026-05-12,keyword:penetration test,70,https://www.usaspending.gov/award/CONT_AWD_89303726FEM400344_8900_NNG15SD72B_8000
2026-07-01,1333MF26F0020,63140.60,high,vulnerability_assessment,QUALYS WEB APPLICATION VULNERABILITY SCANNING  POP:  06/01/2026 - 05/31/2027  QUALYS VMDR BUNDLE QTY 100 QUALYS TOTALAPPSEC QTY 500 QUALYS SECURITY QTY 10,"AUGUST SCHELL ENTERPRISES, INC.",,Department of Commerce,National Oceanic and Atmospheric Administration,541519,7A20,2026-06-01,keyword:vulnerability scan,70,https://www.usaspending.gov/award/CONT_AWD_1333MF26F0020_1330_NNG15SD80B_8000
2026-07-01,19AQMM25F7343,5000.00,high,incident_response,NEW AMAZON WEB SERVICES BPA CALL FOR DS-MIRD INCIDENT RESPONSE,"THUNDERCAT TECHNOLOGY, LLC",,Department of State,Department of State,541519,DB10,2025-09-30,keyword:incident response,65,https://www.usaspending.gov/award/CONT_AWD_19AQMM25F7343_1900_19AQMM25A1227_1900
